Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
Taxi,ni1850007,ni185,Place of Work (Method of Travel),Count,Person,Place of Work (Method of Travel): Taxi
Train,ni1850008,ni185,Place of Work (Method of Travel),Count,Person,Place of Work (Method of Travel): Train
"Motorcycle, scooter or moped",ni1850009,ni185,Place of Work (Method of Travel),Count,Person,"Place of Work (Method of Travel): Motorcycle, scooter or moped"
Bicycle,ni1850010,ni185,Place of Work (Method of Travel),Count,Person,Place of Work (Method of Travel): Bicycle
On foot,ni1850011,ni185,Place of Work (Method of Travel),Count,Person,Place of Work (Method of Travel): On foot
Other method,ni1850012,ni185,Place of Work (Method of Travel),Count,Person,Place of Work (Method of Travel): Other method
All PEOPLE,ni1870001,ni187,Ulster-Scots (Ability),Count,Person,Ulster-Scots (Ability): All PEOPLE
"Understands but does not read, write or speak Ulster-Scots",ni1870002,ni187,Ulster-Scots (Ability),Count,Person,"Ulster-Scots (Ability): Understands but does not read, write or speak Ulster-Scots"
Speaks but does not read or write Ulster-Scots,ni1870003,ni187,Ulster-Scots (Ability),Count,Person,Ulster-Scots (Ability): Speaks but does not read or write Ulster-Scots
Speaks and reads but does not write Ulster-Scots,ni1870004,ni187,Ulster-Scots (Ability),Count,Person,Ulster-Scots (Ability): Speaks and reads but does not write Ulster-Scots
"Speaks, reads, writes and understands Ulster-Scots",ni1870005,ni187,Ulster-Scots (Ability),Count,Person,"Ulster-Scots (Ability): Speaks, reads, writes and understands Ulster-Scots"
Other combination of skills,ni1870006,ni187,Ulster-Scots (Ability),Count,Person,Ulster-Scots (Ability): Other combination of skills
No ability in Ulster-Scots,ni1870007,ni187,Ulster-Scots (Ability),Count,Person,Ulster-Scots (Ability): No ability in Ulster-Scots
All PEOPLE,ni1880001,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): All PEOPLE
Can speak Ulster-Scots: Speaks Ulster-Scots daily,ni1880002,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): Can speak Ulster-Scots: Speaks Ulster-Scots daily
Can speak Ulster-Scots: Speaks Ulster-Scots weekly,ni1880003,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): Can speak Ulster-Scots: Speaks Ulster-Scots weekly
Can speak Ulster-Scots: Speaks Ulster-Scots less often than weekly,ni1880004,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): Can speak Ulster-Scots: Speaks Ulster-Scots less often than weekly
Can speak Ulster-Scots: Never speaks Ulster-Scots,ni1880005,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): Can speak Ulster-Scots: Never speaks Ulster-Scots
Cannot speak Ulster-Scots: Does not speak Ulster-Scots,ni1880006,ni188,Ulster-Scots (Speak Frequency),Count,Person,Ulster-Scots (Speak Frequency): Cannot speak Ulster-Scots: Does not speak Ulster-Scots
